5 5 5 5
-10 -15 5 -39 33 
26 -44 4 13 47 
-46 0 -24 -11 -3 
-31 1 -19 -35 -22 
-21 41 15 -6 0 

34 16 39 44 27 
41 -41 29 22 -4 
-20 -13 -34 43 34 
-48 -49 21 -41 -21 
-47 -40 34 -30 -21 

-14 -17 -39 -23 -41 
-36 -8 34 -28 -47 
38 -19 31 23 -29 
43 34 26 -4 38 
-48 4 -11 -44 -39 

20 25 -22 -6 -31 
-1 -17 -21 -29 -41 
34 6 -47 -30 28 
13 -20 6 -7 -40 
-42 13 -6 25 -18 

49 -16 26 -47 -28 
16 -23 -9 -2 -30 
7 48 -15 26 23 
-48 -47 -22 -35 -24 
34 -45 -22 -38 29 


-48 -27 23 33 36 
5 -1 -50 -22 -49 
-6 -35 33 17 11 
21 -50 -31 -35 2 
-47 14 27 -21 -23 

-35 -45 -8 -46 32 
48 26 -24 46 46 
43 28 -6 -22 -6 
6 -13 -5 1 39 
11 -32 30 4 15 

41 24 25 18 -5 
10 26 16 12 -15 
33 -19 -48 3 -20 
-25 -33 -16 -38 -21 
17 -42 40 -22 -33 

32 -38 18 13 -39 
17 -3 26 -6 1 
22 -9 21 27 48 
-33 8 -31 38 32 
11 22 -7 -27 -41 

4 -38 -9 -10 -42 
-49 -47 -15 -8 38 
38 6 49 32 35 
10 -22 46 24 47 
20 25 -27 24 31 


48 44 -13 20 -26 
-21 -17 27 -21 10 
-19 37 -37 -41 -11 
38 -36 34 -28 0 
-15 49 -46 -39 -35 

0 -23 32 23 -12 
6 34 -8 45 18 
-24 -47 32 -7 -2 
12 16 -13 0 -40 
-50 31 -35 -9 -25 

-34 7 44 -19 28 
-17 38 13 7 -10 
33 46 -23 -47 -7 
-48 -8 5 -21 22 
-44 25 -28 -38 -20 

-12 29 -27 3 27 
-17 26 -22 38 -37 
48 32 -21 -14 44 
19 2 3 27 30 
45 -34 -7 -4 33 

-5 -15 44 22 12 
-37 18 30 -13 -24 
30 -31 -36 16 -49 
21 -40 47 -10 -26 
-40 -47 7 48 -33 


-29 -1 29 -42 18 
23 -22 -19 -7 15 
7 20 0 -15 -9 
11 35 -12 30 10 
24 32 -41 -1 10 

-31 -29 35 -38 -20 
